Nome: CURITIBA;;;
Codigo Estacao: 83842;;;
Latitude: -25.4486111;;;
Longitude: -49.23055554;;;
Altitude: 923.5;;;
Situacao: Fechada;;;
Data Inicial: 2003-02-17;;;
Data Final: 2003-10-11;;;
Periodicidade da Medicao: Diaria;;;
;;;
Data Medicao;PRECIPITACAO TOTAL, DIARIO(mm);TEMPERATURA MAXIMA, DIARIA(°C);TEMPERATURA MINIMA, DIARIA(°C)
17/02/2003;64,1;29,7;18
18/02/2003;0,5;30,3;18
19/02/2003;15,9;29,6;19,8
20/02/2003;0;27,8;21
21/02/2003;0;27,6;19,2
22/02/2003;0;22,9;18,4
23/02/2003;3,1;28,2;18,7
24/02/2003;0;31,6;18,9
25/02/2003;0;32,1;20,3
26/02/2003;0;31,7;19,1
27/02/2003;0;30,8;18,9
28/02/2003;0,4;32;20,8
01/03/2003;13;33,4;19,6
02/03/2003;1,8;32,4;18,9
03/03/2003;43;31;19,3
04/03/2003;0;28,8;18,5
05/03/2003;7,4;27,1;18,4
06/03/2003;2,5;28,6;18,2
07/03/2003;28,4;27,7;19,3
08/03/2003;57;24,3;18,5
09/03/2003;4,7;27,7;18,7
10/03/2003;0;27,1;19,4
11/03/2003;0,6;27,7;19,5
12/03/2003;2,2;27,6;19,4
13/03/2003;0;28,7;18,3
14/03/2003;0;29,5;18,6
15/03/2003;0;29,6;18,8
16/03/2003;0;29,5;18,4
17/03/2003;0;21,7;15,9
18/03/2003;0,4;27;13,8
19/03/2003;0;29,5;13,6
20/03/2003;0;29,7;14,8
21/03/2003;51,5;26,2;16,6
22/03/2003;0;20,3;13,5
23/03/2003;0;21,7;12,6
24/03/2003;0,3;21,2;13,2
25/03/2003;0,1;23;11,6
26/03/2003;0,1;23,5;14,6
27/03/2003;0,5;26;15,8
28/03/2003;0,3;25,7;15,2
29/03/2003;0;26,1;13,8
30/03/2003;0,3;27,6;14,2
31/03/2003;0;28,4;15,6
01/04/2003;0;27,6;15,2
02/04/2003;0,2;28,3;17,8
03/04/2003;9,7;19,9;15,4
04/04/2003;10,6;21,9;15,8
05/04/2003;0,8;27,3;18,1
06/04/2003;0;24,4;13,5
07/04/2003;0,1;23,5;11,8
08/04/2003;0;23,5;13,2
09/04/2003;0;27,6;12,4
10/04/2003;1;22,1;16,2
11/04/2003;0,4;23,8;14,4
12/04/2003;0;21,1;7
13/04/2003;0;19,6;5,4
14/04/2003;1;22,3;11,8
15/04/2003;0,1;25,9;12,5
16/04/2003;0;25,8;13,6
17/04/2003;0;26,2;14,6
18/04/2003;0;26,6;14
19/04/2003;37;20,4;16,7
20/04/2003;19,3;21;13,1
21/04/2003;0;19,9;14,2
22/04/2003;0,2;26,9;16,4
23/04/2003;0;25,7;17,2
24/04/2003;0;28,7;15,4
25/04/2003;0;28,8;16,8
26/04/2003;0;29,5;16,3
27/04/2003;0;29,2;16,3
28/04/2003;0;30;16,5
29/04/2003;0;27,6;19
30/04/2003;0;27,9;18,8
01/05/2003;1;23,5;16,2
02/05/2003;0,1;19,6;13,6
03/05/2003;1,2;20,2;5,8
04/05/2003;0;19,2;8,1
05/05/2003;0;19,8;12,4
06/05/2003;0;18,7;10
07/05/2003;0;16,7;6
08/05/2003;0;19,8;5,4
09/05/2003;0;20,3;5,2
10/05/2003;1,2;18,5;7,8
11/05/2003;0;19,3;12,2
12/05/2003;0;21,7;10,3
13/05/2003;0;22,5;12,6
14/05/2003;0,2;21,4;10,3
15/05/2003;0,3;25,2;13,4
16/05/2003;0;26,2;14,8
17/05/2003;0;25,7;14,1
18/05/2003;0;26;11,9
19/05/2003;0;21,5;12,4
20/05/2003;0;22,3;11,6
21/05/2003;0,1;26,2;11,4
22/05/2003;0;26,9;12,2
23/05/2003;15,4;21,9;15,1
24/05/2003;6;17,9;9,4
25/05/2003;0;18,5;7,9
26/05/2003;0;19,5;2,2
27/05/2003;0;21,7;4
28/05/2003;0;22,6;3,2
29/05/2003;0;23,1;3,1
30/05/2003;0,1;24,3;2,8
31/05/2003;0,1;24;6,5
01/06/2003;0;24,9;8
02/06/2003;0;24,4;10,6
03/06/2003;0;21,2;15,1
04/06/2003;11,2;17,9;14,9
05/06/2003;4,8;19,1;12,2
06/06/2003;30,5;21,2;12,6
07/06/2003;0;24,9;15,2
08/06/2003;41,4;15,1;12,4
09/06/2003;2,2;19,5;12,4
10/06/2003;4,4;24,6;14,2
11/06/2003;0;25;14,2
12/06/2003;0;25;13,8
13/06/2003;0;24,9;14
14/06/2003;0;24,6;11,7
15/06/2003;0;23,3;14,2
16/06/2003;0,1;25,5;13,4
17/06/2003;0;25,4;12,3
18/06/2003;0;23,8;15,1
19/06/2003;0;20,7;12,4
20/06/2003;2,3;22,3;10
21/06/2003;0,2;22,9;7,8
22/06/2003;0;24,2;10,1
23/06/2003;0;23,7;12,1
24/06/2003;0,1;24,9;9,7
25/06/2003;0,1;22,7;9,2
26/06/2003;0;21,6;11
27/06/2003;0,1;22;10
28/06/2003;0,1;22,8;7,2
29/06/2003;0;23,6;8,4
30/06/2003;0;20,6;8
01/07/2003;0;21,7;8,2
02/07/2003;0;23,8;7,2
03/07/2003;0;21,9;11,4
04/07/2003;0,1;21,7;5,4
05/07/2003;0;22,6;9,8
06/07/2003;0;23,7;13
07/07/2003;93,4;16,9;13,6
08/07/2003;6,1;24,1;14
09/07/2003;0;19,7;13,3
10/07/2003;11,6;16,1;9,3
11/07/2003;5,6;15,7;6,3
12/07/2003;0;13,1;1
13/07/2003;0;11,5;4,7
14/07/2003;0;16,3;8,2
15/07/2003;10,6;18,3;12
16/07/2003;14,7;15,7;11,8
17/07/2003;8,8;13,9;10,3
18/07/2003;0;23,1;11,1
19/07/2003;0;24,3;9,2
20/07/2003;0;24,9;9,5
21/07/2003;0;26,4;11,3
22/07/2003;0;25,9;11,4
23/07/2003;0;25,7;10
24/07/2003;0;25,2;10
25/07/2003;0;24,7;9,8
26/07/2003;0;21,6;12,6
27/07/2003;0,3;17,5;12,4
28/07/2003;0;18,7;12,3
29/07/2003;0;21,7;13,1
30/07/2003;0;24,5;11,3
31/07/2003;0;24;11,3
01/08/2003;0;21,5;13,4
02/08/2003;0;22,5;11,6
03/08/2003;0;22,9;11,7
04/08/2003;0;25,4;10,3
05/08/2003;0;24,9;11,3
06/08/2003;4,4;null;14,1
07/08/2003;4,6;19,2;11,1
08/08/2003;0;19,9;4
09/08/2003;0;17,2;9
10/08/2003;0;16,3;0,3
11/08/2003;0;16,7;1,3
12/08/2003;0;17,7;1,6
13/08/2003;0;22,9;8
14/08/2003;0;20,5;6,3
15/08/2003;0;20,5;11,2
16/08/2003;1,6;16;9,1
17/08/2003;0;18,5;1,5
18/08/2003;0;21,7;1,2
19/08/2003;0;24,7;4,4
20/08/2003;0;27,4;7
21/08/2003;0;28,1;7,3
22/08/2003;0;27,8;7,4
23/08/2003;0;28,7;8
24/08/2003;0;29;10,9
25/08/2003;3,1;20,2;9,7
26/08/2003;0;15,2;6
27/08/2003;0;19,2;7,3
28/08/2003;0;13,7;6,3
29/08/2003;0;13,5;5,3
30/08/2003;0,8;13,1;7,7
31/08/2003;0;20,3;8,2
01/09/2003;0;21,7;8,2
02/09/2003;0;22,5;10,3
03/09/2003;0;20,5;6,3
04/09/2003;0;21,3;8,1
05/09/2003;0;27,6;11,4
06/09/2003;0;27,8;10,8
07/09/2003;0;28,4;13,5
08/09/2003;0;21,6;15,2
09/09/2003;1;23,2;15,1
10/09/2003;43,6;19,2;8
11/09/2003;27,2;17,5;1,6
12/09/2003;0;22,9;1
13/09/2003;0;20;9
14/09/2003;0;16,2;7,6
15/09/2003;0;18,7;8,3
16/09/2003;14,2;19,7;11,9
17/09/2003;0;22,2;9,3
18/09/2003;0;23,4;11
19/09/2003;0;26,6;10,4
20/09/2003;0;29,8;10,1
21/09/2003;0;26,9;11,7
22/09/2003;0;31,2;10,4
23/09/2003;0;30,8;12,3
24/09/2003;0;28,6;14,8
25/09/2003;7,4;19;13,1
26/09/2003;59,4;17,3;12,6
27/09/2003;5,4;24,9;12,9
28/09/2003;0,2;26,8;13,8
29/09/2003;2,3;18;13,1
30/09/2003;0;20,5;12,1
01/10/2003;0;23,5;11,8
02/10/2003;0;26,9;12,4
03/10/2003;0;28,6;12,2
04/10/2003;0;25,3;14
05/10/2003;0;28,5;15,2
06/10/2003;14;26,8;16
07/10/2003;6,3;20,2;14,3
08/10/2003;0;27,8;15,3
09/10/2003;0;24,5;14,1
10/10/2003;26,9;19,1;12,5
11/10/2003;12,8;15,7;9,6
